"temp","oxygen","glucose","lactate","fvcd"
37,,,9.58,2200000
33,,,9.8,2100000
37,50,7.2,5.8,25000000
37,30,8,6,35000000
32,50,8.2,1.1,70000000
32,30,6,3,50000000
35.5,50,,6.5,62000000
35.5,30,,7.5,41000000
37,3,,,1500000
37,10,,,1400000
37,50,,,1500000
37,100,,,1100000
37,200,,,1150000
36.5,10,12.5,4.5,8000000
36.5,20,12.5,4.3,17000000
36.5,44,12.5,1.6,16000000
36.5,60,12.5,1.4,16500000
32,,4.5,2.5,15000000
34,,2.5,2.2,45000000
36.5,,1,0.75,52000000
37.5,,1.8,2.7,7500000
38.5,,1.9,2.5,6750000
32,40,,0.9,22000000
37,,,1.35,1150000
37,30,6,4.2,7500000
30,50,,,500000
37,50,,,4000000
37,65,1.98,1.51,11000000
37,65,1.8,2.18,9700000
37,65,5.04,0.68,12500000
37,65,3.51,1.78,10500000
37,65,1.8,0.65,10000000
37,10,,4.95,10500000
37,25,,3.43,14500000
36.5,25,,1.35,8800000
36.5,40,,2.25,9000000
36.6,68,3.6,7.2,28000000
35.6,56.5,3.96,0.9,25000000
37,,6.85,0.16,8800000
37,50,0.7,1.8,1450000
32,,,,5770000
33,,3.6,0.9,1510000
33,,5.4,0.54,1100000
33,,7.2,0.26,880000
37,,3.6,0.99,1650000
37,,5.4,0.78,1010000
37,,7.2,0.57,800000
33,,4.8,0.97,6800000
33,,3.6,0.57,5500000
33,,2.4,0.2,3000000
33,,1.2,0,1100000
37,32.5,,13,25000000
37,,1.35,2.16,7000000
37,45,3,5.7,20000000
33.5,75,1.5,2.5,61000000
37,50,,,11750000
37,40,3.06,4.9,16670000
36.5,,,1.45,8250000
36.5,,,1.15,8750000
36.5,,,1.3,8000000
36.5,,,1.9,10750000
36.5,,,1.7,10200000
36.5,,,2.4,10500000
37,50,0.01,1.51,8300000
37,50,0.01,1.56,7400000
37,50,2.25,1.46,5500000
37,50,3.06,1.35,4800000
37,50,0.01,1.56,8500000
37,50,0.01,1.5,8500000
37,50,0.36,1.62,7300000
